Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"J K FOOD MART",-82.980095,30.304178,"969 Ohio Ave N","","Live Oak","FL","32064","1858","SUWANNEE" 
"CVS PHARMACY 7129",-81.61718,30.205233,"9509 San Jose Blvd","","Jacksonville","FL","32257","5431","DUVAL" 
"CVS PHARMACY 5854",-81.190552,28.925219,"2187 Howland Blvd","","Deltona","FL","32738","3441","VOLUSIA" 
"CVS PHARMACY 5917",-81.035149,29.144936,"3771 S Clyde Morris Blvd","","Port Orange","FL","32129","2319","VOLUSIA" 
"DOLLAR GENERAL 6670",-81.554863,28.807869,"24329 State Road 46","Bldg 3","Sorrento","FL","32776","8853","LAKE" 
"DOLLAR GENERAL 6526",-81.976318,27.894833,"410 W Canal St","","Mulberry","FL","33860","2914","POLK" 
"KWIK STOP FOOD STORE",-81.287697,28.756084,"3800 S Orlando Dr","","Sanford","FL","32773","6183","SEMINOLE" 
"DOLLAR GENERAL 9564",-82.728615,27.829411,"6304 66th St","","Pinellas Park","FL","33781","","PINELLAS" 
"DOLLAR GENERAL 7253",-82.055046,29.762402,"3186 SE State Road 21","","Melrose","FL","32666","5333","PUTNAM" 
"DOLLAR GENERAL 4821",-83.87027,30.53952,"801 S Jefferson St","","Monticello","FL","32344","1615","JEFFERSON" 
"DOLLAR GENERAL 1338",-82.775352,27.989157,"1883 N Highland Ave","","Clearwater","FL","33755","2156","PINELLAS" 
"DOLLAR GENERAL 1866",-82.764542,27.916716,"2138 E Bay Dr","Ste 211","Largo","FL","33771","2323","PINELLAS" 
"DOLLAR GENERAL 10565",-82.66703,27.711954,"2240 62nd Ave S","","Saint Petersburg","FL","33712","5374","PINELLAS" 
"DOLLAR GENERAL 4696",-81.510841,29.439697,"701 N Summit St","","Crescent City","FL","32112","2145","PUTNAM" 
"DOLLAR GENERAL 7841",-82.705711,27.872004,"5251 110th Ave N","Ste 110","Clearwater","FL","33760","4837","PINELLAS" 
"DOLLAR GENERAL 8329",-82.746262,27.971153,"422 N Belcher Rd","","Clearwater","FL","33765","2606","PINELLAS" 
"DOLLAR GENERAL 1421",-82.12265,30.26619,"1263 S 6th St","","Macclenny","FL","32063","4627","BAKER" 
"DOLLAR GENERAL 1337",-82.863472,29.491116,"1310 N Young Blvd","","Chiefland","FL","32626","1705","LEVY" 
"Walgreens 02192",-82.537521,28.461706,"11180 Spring Hill Dr","","Spring Hill","FL","34609","4648","HERNANDO" 
"WALGREENS 07651",-82.786446,27.894737,"10697 Ulmerton Rd","","Largo","FL","33771","3527","PINELLAS" 
"F & T Mini Market, Inc.",-80.742554,28.351742,"601 S Fiske Blvd","","Cocoa","FL","32922","7178","BREVARD" 
"BARAKAT FOOD STORE",-81.7062,30.313272,"3006 Post St","","Jacksonville","FL","32205","6032","DUVAL" 
"ON Z RUN FOOD MART",-82.699989,27.848551,"8431 49th St","","Pinellas Park","FL","33781","1552","PINELLAS" 
"PK's Food Store, Inc",-82.655815,27.811543,"4343 Haines Rd N","","St Petersburg","FL","33714","4232","PINELLAS" 
"STEAK HOUSE PANAMA CITY, LLC",-85.635765,30.167673,"1808 E 11th St","","Panama City","FL","32401","4441","BAY" 
"Dollar General 9705",-81.242294,29.551247,"500 Palm Coast Pkwy SW","","Palm Coast","FL","32137","4741","FLAGLER" 
"DOLLAR GENERAL 13153",-85.127197,30.576345,"26014 N Main St","","Altha","FL","32421","3328","CALHOUN" 
"DOLLAR GENERAL 5723",-81.917503,26.652573,"4150 Hancock Bridge Pkwy","Ste 2","North Fort Myers","FL","33903","4299","LEE" 
"Lee's Country Store",-81.715195,27.871302,"220 Central Ave","","Alturas","FL","33820","","POLK" 
"GLADES FOOD MARKET",-80.671585,26.682203,"364 SW AVE E","","BELLE GLADE","FL","33430","","PALM BEACH" 
"Five Stars Express",-82.218712,28.345333,"36108 State Road 52","","Dade City","FL","33525","8300","PASCO" 
"PUBLIX 1098",-80.605675,28.370068,"5645 N Atlantic Ave","","Cocoa Beach","FL","32931","3919","BREVARD" 
"DOLLAR CITY",-80.240891,26.154953,"6969 Sunset Strip","","Sunrise","FL","33313","2865","BROWARD" 
"Supermercado Jalisco",-81.855721,28.559486,"110 E Broad St","","Groveland","FL","34736","4002","LAKE" 
"PUBLIX 1079",-80.36245,26.064121,"4567 Weston Rd","","Weston","FL","33331","3141","BROWARD" 
"PUBLIX 1094",-80.129486,26.137362,"1415 E Sunrise Blvd","","Ft Lauderdale","FL","33304","2324","BROWARD" 
"CECIS PRODUCE",-80.267334,25.890165,"12705 NW 42nd Ave","","Opa Locka","FL","33054","5117","MIAMI DADE" 
"Bravo Supermarket",-81.475929,28.579308,"2701 N Hiawassee Rd","","Orlando","FL","32818","3009","ORANGE" 
"WATSON SEAFOOD",-81.790039,30.268953,"LOT 5 WILSON BLVD","","JACKSONVILLE","FL","32205","","DUVAL" 
"Oakes Meat Processing",-87.216423,30.773636,"2503 Segrest Rd","","Pace","FL","32571","9228","SANTA ROSA" 
"DOLLAR GENERAL 1401",-82.032249,29.793791,"300 Green Way","","Keystone Heights","FL","32656","7665","CLAY" 
"Dollar General 1404",-82.639214,30.178398,"857 SW Main Blvd","Ste 120","Lake City","FL","32025","5796","COLUMBIA" 
"DOLLAR GENERAL 1419",-81.643433,26.600979,"25 Homestead Rd N Ste 21","","Lehigh Acres","FL","33936","6600","LEE" 
"DOLLAR GENERAL 1420",-82.462433,28.141443,"18451 N US Highway 41","","Lutz","FL","33549","4470","HILLSBOROUGH" 
"DOLLAR GENERAL 1453",-82.255585,27.046761,"12995 Tamiami Trl S","","North Port","FL","34287","1943","SARASOTA" 
"DOLLAR GENERAL 1454",-82.068619,29.209404,"4901 NE SILVER SPRINGS BLVD","","OCALA","FL","34470","","MARION" 
"DOLLAR GENERAL 1468",-82.700142,27.841623,"7680 49th St","","Pinellas Park","FL","33781","3438","PINELLAS" 
"DOLLAR GENERAL 1480",-80.487068,27.841837,"13640 US Highway 1","Ste 16","Sebastian","FL","32958","","INDIAN RIVER" 
"Supermarket Acapulco Tropical Inc.",-82.562866,27.468819,"3525 1st St","","Bradenton","FL","34208","4441","MANATEE" 
